lote	time	secs	mem	CPU	GB
1	20220603 235925	0	46	59	15999
1	20220604 000430	305	46	2	15999
1	20220604 000905	580	52	0	15999
1	20220604 000910	585	65	14	15999
1	20220604 000915	590	79	15	15999
1	20220604 000920	595	93	15	15999
1	20220604 000925	600	99	16	15999
1	20220604 000930	605	34	7	15999
1	20220604 001435	910	34	0	15999
1	20220604 001930	1205	40	0	15999
1	20220604 001935	1210	52	14	15999
1	20220604 001940	1215	64	14	15999
1	20220604 001945	1220	78	15	15999
1	20220604 001950	1225	92	15	15999
1	20220604 001955	1230	99	16	15999
1	20220604 002000	1235	25	9	15999
1	20220604 002505	1540	25	0	15999
2	20220627 060448	1	6	12	7947
2	20220627 060453	6	10	68	7947
2	20220627 060523	36	22	16	7947
